Abbreviation,Genus,Species
ACCGEN,Accipiter,gentilis
ACCNIS,Accipiter,nisus
ARDCIN,Ardea,cinerea
BOTSTE,Botaurus,stellaris
BUTBUT,Buteo,buteo
BUTLAG,Buteo,lagopus
CIRAER,Circus,aeruginosus
CIRCYA,Circus,cyaneus
FALCOL,Falco,columbarius
FALSUB,Falco,subbuteo
GRUGRU,Grus,grus
PERAPI,Pernis,apivorus
PHACAR,Phalacrocorax,carbo
PHYLUS,Phylloscopus,trochilus
PHYCOL,Phylloscopus,collybita
PHYSIB,Phylloscopus,sibilatrix
PHYDES,Phylloscopus,trochiloides
ACRSCH,Acrocephalus,schoenobaenus
SYLCUR,Sylvia,curruca
SYLCOM,Sylvia,communis
ACRDUM,Acrocephalus,dumetorum
SYLBOR,Sylvia,borin
HIPICT,Hippolais,icterina
SYLNIS,Sylvia,nisoria
SYLATR,Sylvia,atricapilla
ACRSCI,Acrocephalus,scirpaceus
ACRRIS,Acrocephalus,palustris
ACRARU,Acrocephalus,arundinaceus
CHAMOR,Eudromias,morinellus
LARMIN,Larus,minutus
STELON,Stercorarius,longicaudus
PLUAPR,Pluvialis,apricaria
LARCAN,Larus,canus
STECUS,Stercorarius,parasiticus
LARRID,Larus,ridibundus
LARFUS,Larus,fuscus
LARARG,Larus,argentatus
LARMAR,Larus,marinus
CINCIN,Cinclus,cinclus
ERIRUB,Erithacus,rubecula
RIPRIP,Riparia,riparia
HIRRUS,Hirundo,rustica
TROTRO,Troglodytes,troglodytes
DELURB,Delichon,urbicum
PRUMOD,Prunella,modularis
MOTALB,Motacilla,alba
SAXRUB,Saxicola,rubetra
ANTTRI,Anthus,trivialis
ANTPRA,Anthus,pratensis
OENOEN,Oenanthe,oenanthe
LUSSVE,Luscinia,svecica
MOTFLA,Motacilla,flava
ANTPET,Anthus,petrosus
LUSLUS,Luscinia,luscinia
ANTCER,Anthus,cervinus
GLAPAS,Glaucidium,passerinum
AEGFUN,Aegolius,funereus
STRURA,Strix,uralensis
STRALU,Strix,aluco
STRNEB,Strix,nebulosa
ASIOTU,Asio,otus
ASIFLA,Asio,flammeus
SURULU,Surnia,ulula
TRIGLA,Tringa,glareola
GALGAL,Gallinago,gallinago
TRIOCH,Tringa,ochropus
ACTHYP,Actitis,hypoleucos
AREINT,Arenaria,interpres
TRITOT,Tringa,totanus
CHAHIA,Charadrius,hiaticula
SCORUS,Scolopax,rusticola
TRINEB,Tringa,nebularia
NUMARQ,Numenius,arquata
HAEOST,Haematopus,ostralegus
NUMPHA,Numenius,phaeopus
CHADUB,Charadrius,dubius
PHALOB,Phalaropus,lobatus
PARMAJ,Parus,major
TURILI,Turdus,iliacus
TURMER,Turdus,merula
TURPHI,Turdus,philomelos
TURPIL,Turdus,pilaris
TURVIS,Turdus,viscivorus
PARATE,Parus,ater
PARCAE,Parus,caeruleus
PARMON,Parus,montanus
PARCIN,Parus,cinctus
PARCRI,Parus,cristatus
PHOPHO,Phoenicurus,phoenicurus
CERFAM,Certhia,familiaris
STEHIR,Sterna,hirundo
FALTIN,Falco,tinnunculus
VANVAN,Vanellus,vanellus
BUCCLA,Bucephala,clangula
LANEXC,Lanius,excubitor
FICHYP,Ficedula,hypoleuca
FICPAR,Ficedula,parva
MUSSTR,Muscicapa,striata
LANCOL,Lanius,collurio
STEAEA,Sterna,paradisaea
CUCCAN,Cuculus,canorus
COLPAL,Columba,palumbus
COLLIV,Columba,livia
COLOEN,Columba,oenas
ALCTOR,Alca,torda
STECAS,Sterna,caspia
CEPGRY,Cepphus,grylle
URIAAL,Uria,aalge
APUAPU,Apus,apus
CAPEUR,Caprimulgus,europaeus
DENMAJ,Dendrocopos,major
PICTRI,Picoides,tridactylus
PICCAN,Picus,canus
DRYMAR,Dryocopus,martius
LULARB,Lullula,arborea
JYNTOR,Jynx,torquilla
ALAARV,Alauda,arvensis
DENMIN,Dendrocopos,minor
STUVUL,Sturnus,vulgaris
PERINF,Perisoreus,infaustus
GARGLA,Garrulus,glandarius
NUCCAR,Nucifraga,caryocatactes
CORNIX,Corvus,corone
CORFRU,Corvus,frugilegus
PICPIC,Pica,pica
CORMON,Corvus,monedula
CORRAX,Corvus,corax
FRICOE,Fringilla,coelebs
PASMON,Passer,montanus
CARSPI,Carduelis,spinus
CARERY,Carpodacus,erythrinus
CARCHL,Carduelis,chloris
CARMEA,Carduelis,flammea
EMBCIT,Emberiza,citrinella
EMBSCH,Emberiza,schoeniclus
PYRPYR,Pyrrhula,pyrrhula
CARCAN,Carduelis,cannabina
CALLAP,Calcarius,lapponicus
PASDOM,Passer,domesticus
EMBRUS,Emberiza,rustica
FRIMON,Fringilla,montifringilla
CARCAR,Carduelis,carduelis
PLENIV,Plectrophenax,nivalis
COCCOC,Coccothraustes,coccothraustes
GAVSTE,Gavia,stellata
ANACLY,Anas,clypeata
AYTFUL,Aythya,fuligula
ANAPEN,Anas,penelope
MERALB,Mergellus,albellus
BRALEU,Branta,leucopsis
SOMMOL,Somateria,mollissima
ANAPLA,Anas,platyrhynchos
MELFUS,Melanitta,fusca
MERMER,Mergus,merganser
CYGOLO,Cygnus,olor
CYGCYG,Cygnus,cygnus
ANAACU,Anas,acuta
MERSER,Mergus,serrator
FULATR,Fulica,atra
AYTFER,Aythya,ferina
ANSANS,Anser,anser
ANSFAB,Anser,fabalis
BRACAN,Branta,canadensis
ANACRE,Anas,crecca
REGREG,Regulus,regulus
MELNIG,Melanitta,nigra
